"...1","trial_n","type","days","n","rb","rn","w","pph","ph","pp","k","bhd","wha","qha","pBrood","pHoney","pPollen","pEmpty","pBroodHeat","pHoneyHeat","pPollenHeat","pEmptyHeat","broodMetric","pollenRing"
1,20,"queen",30,61,2,2,3012,0.9875,0.9253,0.9344,14.2276,0.9183,0.8021,0.8073,0.0136296296296296,0.984888888888889,0,0.00148148148148148,0,1,0,0,0.608695652173913,10.0852166064982
1,21,"queen",30,114,3,3,3382,0.3486,0.9361,1.0917,15.3157,0.8817,0.5659,0.6606,0.208,0.738666666666667,0.00207407407407407,0.0512592592592593,0,0.978201634877384,0.0190735694822888,0.00272479564032698,4,9.20879261933413
1,22,"queen",30,117,2,4,3988,0.4584,0.9414,1.092,11.8234,0.121,0.279,2.4178,0.0882962962962963,0.902222222222222,0,0.00948148148148148,0.0245231607629428,0.97275204359673,0,0.00272479564032698,1.67785234899329,5.88720853858785
1,23,"queen",30,105,3,1,1389,0.3886,0.9022,1.0916,15.058,0.0623,0.1069,1.1851,0.314074074074074,0.602074074074074,0.010962962962963,0.0728888888888889,0,0.931880108991826,0.0626702997275204,0.00544959128065395,4.70188679245283,7.91125984251969
1,24,"queen",30,80,2,3,2344,0.7408,0.9203,1.0609,7.0306,0.892,0.1506,0.1367,0.0642962962962963,0.929185185185185,0,0.00651851851851852,0,1,0,0,2.036866359447,11.2776658163265
1,25,"queen",30,88,2,2,3290,0.5498,1.0325,0.9573,9.7571,0.4649,0.0528,3.4898,0.12562962962963,0.855111111111111,0,0.0192592592592593,0.122615803814714,0.847411444141689,0,0.0299727520435967,2.02830188679245,5.40252252252252
1,26,"queen",30,111,2,1,1392,0.9091,0.9412,0.9232,5.9255,0.5648,0.2009,3.4776,0.144592592592593,0.827851851851852,0,0.0275555555555556,0.0490463215258856,0.915531335149864,0,0.0354223433242507,2.3155737704918,5.57055118110236
1,27,"queen",30,119,2,3,3499,0.443,0.9309,0.909,16.7494,0.5365,0.8059,0.6641,0.219259259259259,0.728592592592593,0.0100740740740741,0.0420740740740741,0,0.907356948228883,0.0926430517711172,0,3.99459459459459,8.5229158194388
1,28,"queen",30,62,3,4,3446,0.4383,1.0819,0.9905,19.3386,0.1323,0.6282,4.728,0.174518518518519,0.750222222222222,0,0.0752592592592593,0.0408719346049046,0.959128065395095,0,0,3.4634974533107,6.32487361769352
1,29,"queen",30,61,2,2,3424,0.824,1.0269,1.0508,11.7284,0.9951,0.4146,4.6024,0.0405925925925926,0.951407407407407,0,0.008,0.0108991825613079,0.978201634877384,0,0.0108991825613079,1.03649635036496,6.97982559950171
1,30,"queen",30,103,4,4,1900,0.5932,1.0725,1.0124,8.9287,0.4025,0.3926,0.4799,0.224296296296296,0.744296296296296,0,0.0314074074074074,0,1,0,0,4.74240422721268,10.1465047770701
1,31,"queen",30,90,2,3,1095,0.2269,1.0562,0.957,11.7696,0.2155,0.6906,1.7634,0.38637037037037,0.503111111111111,0.0322962962962963,0.0782222222222222,0.0490463215258856,0.730245231607629,0.209809264305177,0.0108991825613079,4.99386503067485,7.31558892815077
1,32,"queen",30,94,2,4,1602,0.3724,0.9775,0.9614,10.4748,0.9609,0.8836,2.1162,0.354074074074074,0.555555555555556,0.0222222222222222,0.0681481481481482,0.00817438692098093,0.787465940054496,0.204359673024523,0,4.61422594142259,6.44317866666667
1,33,"queen",30,93,3,2,1675,0.2193,0.9251,0.9954,8.2295,0.2594,0.6061,3.8009,0.356148148148148,0.548740740740741,0.0142222222222222,0.0808888888888889,0.20708446866485,0.667574931880109,0.0899182561307902,0.0354223433242507,4.42928452579035,6.14539956803456
